iter	Passed	Remaining
401	13556	20166
402	13583	20123
403	13611	20080
404	13636	20033
405	13668	19997
406	13705	19969
407	13733	19927
408	13764	19889
409	13799	19857
410	13833	19825
411	13866	19789
412	13892	19746
413	13923	19707
414	13950	19664
415	13981	19628
416	14009	19586
417	14046	19557
418	14072	19513
419	14107	19481
420	14135	19440
421	14170	19408
422	14203	19374
423	14264	19378
424	14308	19359
425	14335	19316
426	14360	19271
427	14389	19230
428	14419	19192
429	14450	19155
430	14481	19118
431	14512	19080
432	14538	19037
433	14568	18998
434	14594	18956
435	14620	18912
436	14651	18875
437	14680	18836
438	14712	18801
439	14747	18769
440	14775	18729
441	14803	18688
442	14841	18660
443	14867	18618
444	14893	18574
445	14928	18543
446	14961	18509
447	14997	18479
448	15023	18436
449	15047	18391
450	15075	18351
451	15106	18314
452	15132	18272
453	15157	18229
454	15183	18186
455	15209	18144
456	15241	18109
457	15272	18073
458	15294	18027
459	15321	17986
460	15364	17964
461	15395	17928
462	15425	17890
463	15460	17859
464	15489	17820
465	15522	17787
466	15550	17747
467	15574	17704
468	15602	17665
469	15632	17627
470	15653	17581
471	15679	17539
472	15706	17499
473	15734	17460
474	15764	17424
475	15802	17396
476	15840	17367
477	15875	17337
478	15911	17306
479	15941	17269
480	15971	17232
481	15999	17194
482	16032	17160
483	16061	17123
484	16082	17077
485	16108	17036
486	16137	16999
487	16168	16963
488	16197	16925
489	16222	16884
490	16252	16848
491	16283	16813
492	16313	16776
493	16345	16742
494	16383	16714
495	16418	16683
496	16448	16647
497	16475	16607
498	16503	16569
499	16529	16529
500	16559	16493
501	16585	16453
502	16606	16408
503	16633	16369
504	16657	16327
505	16680	16284
506	16701	16240
507	16725	16198
508	16753	16161
509	16804	16145
510	16837	16112
511	16867	16076
512	16899	16042
513	16928	16006
514	16959	15971
515	16989	15935
516	17014	15895
517	17046	15861
518	17069	15819
519	17097	15782
520	17127	15746
521	17156	15710
522	17186	15674
523	17217	15640
524	17256	15612
525	17286	15577
526	17317	15543
527	17346	15506
528	17371	15467
529	17398	15428
530	17423	15388
531	17453	15353
532	17480	15315
533	17505	15276
534	17531	15237
535	17559	15200
536	17585	15162
537	17611	15123
538	17641	15088
539	17682	15062
540	17719	15033
541	17750	14999
542	17787	14970
543	17822	14939
544	17859	14910
545	17887	14873
546	17912	14833
547	17934	14792
548	17960	14754
549	17985	14715
550	18011	14676
551	18035	14637
552	18060	14598
553	18083	14558
554	18111	14522
555	18145	14489
556	18169	14450
557	18200	14416
558	18225	14378
559	18253	14341
560	18283	14307
561	18308	14268
562	18334	14231
563	18362	14195
564	18395	14163
565	18426	14128
566	18449	14089
567	18474	14051
568	18497	14011
569	18524	13974
570	18551	13937
571	18588	13908
572	18616	13872
573	18647	13839
574	18669	13798
575	18696	13762
576	18725	13727
577	18758	13695
578	18798	13668
579	18827	13633
580	18858	13600
581	18887	13565
582	18918	13532
583	18946	13496
584	18968	13456
585	18995	13419
586	19027	13387
587	19059	13354
588	19095	13324
589	19124	13290
590	19186	13277
591	19212	13240
592	19237	13203
593	19262	13165
594	19288	13128
595	19318	13094
596	19342	13056
597	19367	13019
598	19391	12981
599	19418	12945
600	19449	12912
601	19480	12879
602	19511	12845
603	19543	12813
604	19593	12792
605	19631	12763
606	19666	12733
607	19703	12703
608	19737	12672
609	19763	12635
610	19792	12601
611	19819	12565
612	19847	12530
613	19870	12491
614	19893	12453
615	19921	12418
616	19945	12381
617	19973	12346
618	20006	12313
619	20037	12281
620	20071	12249
621	20102	12216
622	20131	12182
623	20156	12145
624	20200	12120
625	20224	12083
626	20251	12047
627	20275	12010
628	20308	11978
629	20335	11942
630	20361	11907
631	20384	11869
632	20412	11834
633	20447	11803
634	20476	11769
635	20509	11738
636	20537	11703
637	20568	11670
638	20596	11635
639	20622	11599
640	20646	11563
641	20673	11528
642	20700	11492
643	20724	11456
644	20751	11421
645	20777	11385
646	20801	11349
647	20830	11315
648	20860	11281
649	20930	11270
650	20981	11248
651	21013	11215
652	21050	11186
653	21098	11162
654	21157	11144
655	21208	11121
656	21251	11094
657	21288	11064
658	21322	11033
659	21354	11000
660	21383	10966
661	21411	10932
662	21439	10897
663	21467	10863
664	21500	10830
665	21535	10800
666	21564	10766
667	21597	10734
668	21629	10701
669	21660	10668
670	21685	10632
671	21713	10598
672	21743	10564
673	21769	10529
674	21804	10498
675	21847	10471
676	21878	10438
677	21913	10407
678	21943	10373
679	21973	10340
680	22007	10308
681	22040	10276
682	22078	10247
683	22111	10215
684	22148	10185
685	22195	10159
686	22234	10130
687	22276	10102
688	22320	10075
689	22354	10043
690	22391	10013
691	22422	9979
692	22450	9945
693	22482	9913
694	22514	9880
695	22550	9849
696	22584	9817
697	22631	9791
698	22679	9766
699	22715	9735
700	22747	9702
701	22780	9670
702	22821	9641
703	22854	9609
704	22885	9576
705	22916	9543
706	22944	9508
707	22974	9475
708	23008	9443
709	23040	9411
710	23074	9378
711	23111	9348
712	23146	9316
713	23176	9283
714	23205	9249
715	23235	9216
716	23261	9181
717	23293	9148
718	23319	9113
719	23345	9078
720	23369	9043
721	23399	9009
722	23427	8975
723	23463	8944
724	23489	8909
725	23522	8877
726	23548	8842
727	23586	8812
728	23634	8785
729	23678	8757
730	23713	8726
731	23751	8695
732	23792	8666
733	23838	8639
734	23872	8607
735	23915	8578
736	23944	8544
737	23972	8510
738	23999	8476
739	24027	8442
740	24055	8408
741	24093	8377
742	24133	8347
743	24176	8318
744	24210	8286
745	24246	8255
746	24281	8223
747	24308	8189
748	24335	8155
749	24362	8120
750	24391	8087
751	24421	8053
752	24450	8020
753	24479	7986
754	24513	7954
755	24540	7920
756	24572	7887
757	24604	7855
758	24630	7820
759	24659	7787
760	24689	7753
761	24719	7720
762	24750	7687
763	24775	7653
764	24800	7618
765	24826	7584
766	24850	7549
767	24875	7514
768	24898	7479
769	24923	7444
770	24949	7410
771	24978	7377
772	25059	7358
773	25118	7334
774	25156	7303
775	25209	7276
776	25260	7249
777	25299	7219
778	25339	7188
779	25379	7158
780	25415	7126
781	25450	7094
782	25484	7062
